2025-10-20 16:08:41.548 [main] INFO  MainKt - Iniciando Agente de Backup (Modo Supabase Realtime)...
2025-10-20 16:21:27.749 [main] INFO  c.waldirbaia.agent.RealtimeManager - ✅ Canal 'execucoes_realtime' ativo
2025-10-20 16:21:27.751 [main] INFO  c.waldirbaia.agent.RealtimeManager - 🔌 Conectando: agendamentos...
2025-10-20 16:21:27.762 [main] INFO  c.waldirbaia.agent.RealtimeManager - ✅ Canal 'agendamentos' ativo (cron interno)
2025-10-20 16:22:27.692 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Verificando pasta de backups em 'C:/Waldir/Backups'...
2025-10-20 16:22:27.693 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Encontrados 2 arquivos recentes. Verificando quais são novos...
2025-10-20 16:22:27.857 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: 1 arquivo(s) novo(s) encontrado(s). Enviando...
2025-10-20 16:22:28.196 [main] INFO  com.waldirbaia.agent.BackupMonitor - ✅ Monitor: Arquivo '2025-10-19.2irmaos.hermes_2irmaos.gerencial.sql.bz2' registrado (7 MB)
2025-10-20 16:22:28.203 [main] INFO  com.waldirbaia.agent.BackupMonitor - ✅ Monitor: 1 de 1 arquivo(s) enviado(s) com sucesso!
2025-10-20 17:00:06.056 [main] INFO  MainKt - Iniciando Agente de Backup (Modo Supabase Realtime)...
2025-10-20 17:00:06.058 [main] INFO  MainKt - ID do Cliente: 12922085627
2025-10-20 17:00:06.060 [main] INFO  MainKt - Registro: Verificando se o cliente '12922085627' já está cadastrado...
2025-10-20 17:00:07.298 [main] INFO  MainKt - Registro: Cliente já está cadastrado. Nenhuma ação necessária.
2025-10-20 17:00:07.347 [main] INFO  MainKt - Agente iniciado. Ouvindo por agendamentos e monitorando backups.
2025-10-20 17:00:07.349 [main] INFO  c.waldirbaia.agent.RealtimeManager - 🔌 Conectando: execucoes_realtime...
2025-10-20 17:00:07.386 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Verificando pasta de backups em 'C:/Waldir/Backups'...
2025-10-20 17:00:07.390 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Encontrados 2 arquivos recentes. Verificando quais são novos...
2025-10-20 17:00:07.658 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Todos os arquivos já estão registrados. Nenhum novo arquivo.
2025-10-20 17:00:07.730 [main] INFO  c.waldirbaia.agent.RealtimeManager - ✅ Canal 'execucoes_realtime' ativo
2025-10-20 17:00:07.731 [main] INFO  c.waldirbaia.agent.RealtimeManager - 🔌 Conectando: agendamentos...
2025-10-20 17:00:07.739 [main] INFO  c.waldirbaia.agent.RealtimeManager - ✅ Canal 'agendamentos' ativo (cron interno)
2025-10-20 17:47:34.665 [main] INFO  MainKt - Iniciando Agente de Backup (Modo Supabase Realtime)...
2025-10-20 17:47:34.668 [main] INFO  MainKt - ID do Cliente: 12922085627
2025-10-20 17:47:34.669 [main] INFO  MainKt - Registro: Verificando se o cliente '12922085627' já está cadastrado...
2025-10-20 17:47:36.358 [main] INFO  MainKt - Registro: Cliente já está cadastrado. Nenhuma ação necessária.
2025-10-20 17:47:36.396 [main] INFO  MainKt - Agente iniciado. Ouvindo por agendamentos e monitorando backups.
2025-10-20 17:47:36.397 [main] INFO  c.waldirbaia.agent.RealtimeManager - 🔌 Conectando: execucoes_realtime...
2025-10-20 17:47:36.429 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Verificando pasta de backups em 'C:/Waldir/Backups'...
2025-10-20 17:47:36.431 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Encontrados 2 arquivos recentes. Verificando quais são novos...
2025-10-20 17:47:36.697 [main] INFO  c.waldirbaia.agent.RealtimeManager - ✅ Canal 'execucoes_realtime' ativo
2025-10-20 17:47:36.698 [main] INFO  c.waldirbaia.agent.RealtimeManager - 🔌 Conectando: agendamentos...
2025-10-20 17:47:36.705 [main] INFO  c.waldirbaia.agent.RealtimeManager - ✅ Canal 'agendamentos' ativo (cron interno)
2025-10-20 17:47:36.707 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Todos os 2 arquivos já estavam registrados.
